Device	Family	Model	Variant	pp512_d0	pp512_d2048	tg128_d0	tg128_d2048
M2	Apple-Mac	Bonsai-1.7B	Q1_0	131.50	94.00	29.82	25.45
M2	Apple-Mac	gemma-3-270m-it	Q4_K_M	1107.49	509.38	57.11	52.73
M2	Apple-Mac	Qwen3-0.6B	Q4_K_M	254.86	144.09	34.34	27.44
M2	Apple-Mac	granite-4.0-h-1b	Q4_K_M	64.00	64.51	14.10	13.97
M2	Apple-Mac	Qwen3.5-2B	Q4_K_M	73.40	72.33	15.00	15.34
M2	Apple-Mac	SmolLM3-3B	Q4_K_M	54.73	40.48	13.39	11.60
M2	Apple-Mac	Ministral-3-3B-Instruct-2512	Q4_K_M	35.87	27.82	10.84	11.03
M2	Apple-Mac	gemma-4-E2B-it	Q4_K_M	34.84	23.20	10.31	10.86
M2	Apple-Mac	Llama-3.2-1B-Instruct	Q4_K_M	148.55	108.42	27.56	23.18
M3 (16 GB)	Apple-Mac	LFM2.5-350M	Q4_K_M	1060.81	759.22	149.26	137.04
M3 (16 GB)	Apple-Mac	Bonsai-1.7B	Q1_0	244.78	114.01	61.37	49.70
M3 (16 GB)	Apple-Mac	gemma-3-270m-it	Q4_K_M	1444.51	447.81	114.61	104.16
M3 (16 GB)	Apple-Mac	Qwen3-0.6B	Q4_K_M	386.53	137.59	84.66	60.67
M3 (16 GB)	Apple-Mac	granite-4.0-h-1b	Q4_K_M	210.22	187.06	40.61	39.32
M3 (16 GB)	Apple-Mac	Qwen3.5-2B	Q4_K_M	229.51	178.38	42.10	39.77
M3 (16 GB)	Apple-Mac	SmolLM3-3B	Q4_K_M	105.15	60.63	29.36	25.32
M3 (16 GB)	Apple-Mac	Ministral-3-3B-Instruct-2512	Q4_K_M	87.35	46.62	28.52	20.28
M3 (16 GB)	Apple-Mac	gemma-4-E2B-it	Q4_K_M	58.78	32.67	24.35	23.62
M3 (16 GB)	Apple-Mac	Llama-3.2-1B-Instruct	Q4_K_M	310.60	186.96	65.55	56.22
M4 (32 GB)	Apple-Mac	LFM2.5-350M	Q4_K_M	1946.87	1674.56	192.94	194.80
M4 (32 GB)	Apple-Mac	Bonsai-1.7B	Q1_0	533.68	358.48	94.81	81.76
M4 (32 GB)	Apple-Mac	gemma-3-270m-it	Q4_K_M	3641.37	1707.45	140.02	136.85
M4 (32 GB)	Apple-Mac	Qwen3-0.6B	Q4_K_M	973.26	519.79	114.01	93.85
M4 (32 GB)	Apple-Mac	granite-4.0-h-1b	Q4_K_M	396.06	373.86	64.71	61.26
M4 (32 GB)	Apple-Mac	Qwen3.5-2B	Q4_K_M	417.46	385.27	67.24	65.56
M4 (32 GB)	Apple-Mac	SmolLM3-3B	Q4_K_M	210.83	168.36	50.42	45.41
M4 (32 GB)	Apple-Mac	Ministral-3-3B-Instruct-2512	Q4_K_M	192.68	145.14	51.78	45.08
M4 (32 GB)	Apple-Mac	gemma-4-E2B-it	Q4_K_M	73.10	45.23	33.14	32.07
M4 (32 GB)	Apple-Mac	Llama-3.2-1B-Instruct	Q4_K_M	609.05	473.55	109.32	99.46
iPhone 15	Apple-iOS	LFM2.5-350M	Q4_K_M	71.37	62.37	22.77	15.36
iPhone 15	Apple-iOS	gemma-3-270m-it	Q4_K_M	315.55	161.13	28.84	16.67
iPhone 15	Apple-iOS	Qwen3-0.6B	Q4_K_M	47.04	36.81	14.38	6.33
iPhone 17 Pro Max	Apple-iOS	LFM2.5-350M	Q4_K_M	107.92	94.18	33.52	21.94
iPhone 17 Pro Max	Apple-iOS	Bonsai-1.7B	Q1_0	22.97	23.13	9.58	5.88
iPhone 17 Pro Max	Apple-iOS	gemma-3-270m-it	Q4_K_M	413.57	246.04	36.25	25.92
iPhone 17 Pro Max	Apple-iOS	Qwen3-0.6B	Q4_K_M	76.51	59.04	20.81	9.18
Adreno 7xx	Qualcomm	LFM2.5-350M	Q4_K_M	86.38	86.47	5.81	4.89
Adreno 7xx	Qualcomm	gemma-3-270m-it	Q4_K_M	89.24	67.54	3.05	3.07
Adreno 7xx	Qualcomm	Qwen3-0.6B	Q4_K_M	30.98	11.62	2.67	1.87
Snapdragon X Elite	Qualcomm	LFM2.5-350M	Q4_K_M	140.36	139.69	36.62	32.72
Snapdragon X Elite	Qualcomm	Bonsai-1.7B	Q1_0	25.11	10.91	3.08	3.84
Snapdragon X Elite	Qualcomm	gemma-3-270m-it	Q4_K_M	223.29	108.30	5.90	4.67
Snapdragon X Elite	Qualcomm	Qwen3-0.6B	Q4_K_M	47.30	14.28	17.05	14.20
Snapdragon X Elite	Qualcomm	granite-4.0-h-1b	Q4_K_M	28.70	24.88	14.24	13.16
Snapdragon X Elite	Qualcomm	Qwen3.5-2B	Q4_K_M	26.25	20.63	1.77	2.44
Snapdragon X Elite	Qualcomm	SmolLM3-3B	Q4_K_M	10.14	6.77	2.60	2.54
Snapdragon X Elite	Qualcomm	Ministral-3-3B-Instruct-2512	Q4_K_M	10.64	5.91	2.42	2.61
Snapdragon X Elite	Qualcomm	gemma-4-E2B-it	Q4_K_M	13.70	9.04	2.23	2.25
Snapdragon X Elite	Qualcomm	Llama-3.2-1B-Instruct	Q4_K_M	39.17	39.53	2.02	2.73
Galaxy S24	Samsung	LFM2.5-350M	Q4_K_M	136.83	109.46	8.41	8.35
Galaxy S24	Samsung	Bonsai-1.7B	Q1_0	29.14	40.90	4.86	3.63
Galaxy S24	Samsung	gemma-3-270m-it	Q4_K_M	158.87	99.43	7.62	6.90
Galaxy S24	Samsung	Qwen3-0.6B	Q4_K_M	68.75	82.97	6.53	4.39
Galaxy S24	Samsung	granite-4.0-h-1b	Q4_K_M	28.53	36.04	4.14	3.99
Galaxy S24	Samsung	Qwen3.5-2B	Q4_K_M	29.60	28.54	4.36	4.11
Galaxy S24	Samsung	Llama-3.2-1B-Instruct	Q4_K_M	59.51	67.18	6.94	5.48
Mali (Valhall)	ARM	LFM2.5-350M	Q4_K_M	46.32		7.36	
Mali (Valhall)	ARM	Qwen3-0.6B	Q4_K_M	17.95		5.78	
PowerVR D-series	Img Tec	LFM2.5-350M	Q4_K_M	34.02	30.86	2.82	2.26
PowerVR D-series	Img Tec	gemma-3-270m-it	Q4_K_M	72.27	67.87	2.89	
PowerVR D-series	Img Tec	Qwen3-0.6B	Q4_K_M	12.61	10.36	1.24	0.81
PowerVR D-series	Img Tec	Qwen3.5-2B	Q4_K_M	7.02	6.60	1.17	1.03
