timestamp,total_mb,webkit_malloc_mb,graphics_mb
2026-05-13 18:07:13,5283,2328,2894
2026-05-13 18:07:13,5283,2328,2894
2026-05-13 18:07:14,5285,2328,2896
2026-05-13 18:07:14,5319,2328,2930
2026-05-13 18:07:15,5390,2356,2976
2026-05-13 18:07:15,5578,2540,2975
2026-05-13 18:07:15,5698,2652,2983
2026-05-13 18:07:16,5865,2818,2983
2026-05-13 18:07:16,5981,2934,2984
2026-05-13 18:07:17,6169,3120,2985
2026-05-13 18:07:17,6195,3147,2985
2026-05-13 18:07:18,6281,3235,2986
2026-05-13 18:07:18,6405,3356,2986
2026-05-13 18:07:18,6546,3483,3002
2026-05-13 18:07:19,6670,3605,3003
2026-05-13 18:07:19,6761,3697,3003
2026-05-13 18:07:20,6760,3699,3004
2026-05-13 18:07:20,6854,3784,3005
2026-05-13 18:07:21,6896,3824,3006
2026-05-13 18:07:21,6938,3864,3006
2026-05-13 18:07:21,6942,3867,3007
2026-05-13 18:07:22,6934,3858,3008
2026-05-13 18:07:22,6982,3904,3008
2026-05-13 18:07:23,7010,3931,3009
2026-05-13 18:07:23,7063,3983,3010
2026-05-13 18:07:23,7206,4175,3011
2026-05-13 18:07:24,7665,4553,3044
2026-05-13 18:07:25,7828,4744,3044
2026-05-13 18:07:25,8085,4989,3045
2026-05-13 18:07:25,8389,5291,3046
2026-05-13 18:07:26,8676,5595,3047
2026-05-13 18:07:26,8969,5876,3047
2026-05-13 18:07:27,9270,6159,3048
2026-05-13 18:07:27,9480,6399,3049
2026-05-13 18:07:28,9738,6655,3050
2026-05-13 18:07:28,10,7094,3050
2026-05-13 18:07:29,10,7627,3051
2026-05-13 18:07:29,11,8094,3052
2026-05-13 18:07:30,11,8348,3053
2026-05-13 18:07:30,11,8640,3054
2026-05-13 18:07:30,12,9085,3055
2026-05-13 18:07:31,12,9699,3055
2026-05-13 18:07:31,13,0,3087
2026-05-13 18:07:32,14,0,3087
2026-05-13 18:07:32,14,0,3103
2026-05-13 18:07:33,14,0,3104
2026-05-13 18:07:33,15,0,3104
2026-05-13 18:07:34,15,0,3138
2026-05-13 18:07:34,15,0,3108
2026-05-13 18:07:35,15,0,3178
2026-05-13 18:07:35,15,0,3179
2026-05-13 18:07:36,15,0,3240
2026-05-13 18:07:36,15,0,3226
2026-05-13 18:07:37,15,0,3244
2026-05-13 18:07:37,15,0,3139
2026-05-13 18:07:37,15,0,3176
2026-05-13 18:07:38,15,0,3177
2026-05-13 18:07:38,15,0,3181
2026-05-13 18:07:39,15,0,3202
2026-05-13 18:07:39,16,0,3186
2026-05-13 18:07:40,15,0,3187
2026-05-13 18:07:40,15,0,3228
2026-05-13 18:07:41,15,0,3192
2026-05-13 18:07:41,15,0,3256
2026-05-13 18:07:42,16,0,3264
2026-05-13 18:07:42,16,0,3264
2026-05-13 18:07:43,16,0,3271
2026-05-13 18:07:43,16,0,3272
2026-05-13 18:07:43,16,0,3239
2026-05-13 18:07:44,16,0,3218
2026-05-13 18:07:44,16,0,3243
2026-05-13 18:07:45,16,0,3224
2026-05-13 18:07:45,16,0,3224
2026-05-13 18:07:46,16,0,3229
2026-05-13 18:07:46,16,0,3230
2026-05-13 18:07:47,16,0,3181
2026-05-13 18:07:47,16,0,3181
2026-05-13 18:07:48,16,0,3156
2026-05-13 18:07:48,16,0,3106
2026-05-13 18:07:49,16,0,3106
2026-05-13 18:07:49,17,0,3106
2026-05-13 18:07:49,17,0,3106
2026-05-13 18:07:50,17,0,3106
2026-05-13 18:07:50,17,0,3106
2026-05-13 18:07:51,17,0,3106
2026-05-13 18:07:51,16,0,3106
2026-05-13 18:07:52,16,0,3106
2026-05-13 18:07:52,16,0,3106
2026-05-13 18:07:53,16,0,3106
2026-05-13 18:07:53,16,0,3106
2026-05-13 18:07:53,16,0,3106
2026-05-13 18:07:54,16,0,3106
2026-05-13 18:07:54,16,0,3106
2026-05-13 18:07:55,17,0,3106
2026-05-13 18:07:55,17,0,3106
2026-05-13 18:07:56,17,0,3106
2026-05-13 18:07:56,17,0,3106
2026-05-13 18:07:57,17,0,3106
2026-05-13 18:07:57,17,0,3106
2026-05-13 18:07:57,17,0,3123
2026-05-13 18:07:58,17,0,3123
2026-05-13 18:07:58,17,0,3089
2026-05-13 18:07:59,17,0,3089
2026-05-13 18:07:59,17,0,3089
2026-05-13 18:08:00,17,0,3089
