timestamp,combined_mb,renderer_mb,gpu_mb,renderer_anon_mb,vram_mb
2026-05-11 13:41:29,6207,2365,821,1667,3021
2026-05-11 13:41:30,6207,2365,821,1667,3021
2026-05-11 13:41:30,6207,2365,821,1667,3021
2026-05-11 13:41:30,6207,2365,821,1667,3021
2026-05-11 13:41:31,6207,2365,821,1667,3021
2026-05-11 13:41:31,6207,2365,821,1667,3021
2026-05-11 13:41:31,6207,2365,821,1667,3021
2026-05-11 13:41:32,6207,2365,821,1667,3021
2026-05-11 13:41:32,6207,2365,821,1667,3021
2026-05-11 13:41:32,6207,2365,821,1667,3021
2026-05-11 13:41:33,6207,2365,821,1667,3021
2026-05-11 13:41:33,6207,2365,821,1666,3021
2026-05-11 13:41:33,6207,2365,821,1666,3021
2026-05-11 13:41:34,6207,2365,821,1666,3021
2026-05-11 13:41:34,6207,2365,821,1666,3021
2026-05-11 13:41:34,6207,2365,821,1666,3021
2026-05-11 13:41:34,6207,2365,821,1666,3021
2026-05-11 13:41:35,6207,2365,821,1666,3021
2026-05-11 13:41:35,6207,2365,821,1666,3021
2026-05-11 13:41:35,6207,2365,821,1666,3021
2026-05-11 13:41:36,6207,2365,821,1666,3021
2026-05-11 13:41:36,6207,2365,821,1666,3021
2026-05-11 13:41:36,6207,2365,821,1666,3021
2026-05-11 13:41:37,6207,2365,821,1666,3021
2026-05-11 13:41:37,6207,2365,821,1666,3021
2026-05-11 13:41:37,6207,2365,821,1666,3021
2026-05-11 13:41:38,6207,2365,821,1666,3021
2026-05-11 13:41:38,6207,2365,821,1666,3021
2026-05-11 13:41:38,6207,2365,821,1666,3021
2026-05-11 13:41:39,6207,2365,821,1666,3021
2026-05-11 13:41:39,6207,2365,821,1666,3021
2026-05-11 13:41:39,6207,2365,821,1666,3021
2026-05-11 13:41:39,6207,2365,821,1666,3021
2026-05-11 13:41:40,6207,2365,821,1666,3021
2026-05-11 13:41:40,6207,2365,821,1666,3021
2026-05-11 13:41:40,6207,2365,821,1666,3021
2026-05-11 13:41:41,6207,2365,821,1666,3021
2026-05-11 13:41:41,6207,2365,821,1667,3021
2026-05-11 13:41:41,6207,2365,821,1667,3021
2026-05-11 13:41:42,6207,2365,821,1667,3021
2026-05-11 13:41:42,6207,2365,821,1667,3021
2026-05-11 13:41:42,6215,2365,821,1667,3029
2026-05-11 13:41:43,6296,2397,825,1697,3074
2026-05-11 13:41:43,6298,2385,831,1694,3082
2026-05-11 13:41:43,6307,2390,835,1692,3082
2026-05-11 13:41:44,6325,2396,843,1699,3086
2026-05-11 13:41:44,6344,2403,845,1706,3096
2026-05-11 13:41:44,6350,2408,845,1704,3097
2026-05-11 13:41:45,6347,2404,846,1706,3097
