timestamp,combined_mb,renderer_mb,gpu_mb,renderer_anon_mb,vram_mb
2026-05-11 13:52:13,303,89,162,47,52
2026-05-11 13:52:13,303,89,162,47,52
2026-05-11 13:52:13,303,89,162,47,52
2026-05-11 13:52:13,303,89,162,47,52
2026-05-11 13:52:14,303,89,162,47,52
2026-05-11 13:52:14,303,89,162,47,52
2026-05-11 13:52:14,303,89,162,47,52
2026-05-11 13:52:15,303,89,162,47,52
2026-05-11 13:52:15,303,89,162,47,52
2026-05-11 13:52:15,303,89,162,47,52
2026-05-11 13:52:16,303,89,162,47,52
2026-05-11 13:52:16,303,89,162,47,52
2026-05-11 13:52:16,303,89,162,47,52
2026-05-11 13:52:16,303,89,162,47,52
2026-05-11 13:52:17,303,89,162,47,52
2026-05-11 13:52:17,303,89,162,47,52
2026-05-11 13:52:17,303,89,162,47,52
2026-05-11 13:52:18,303,89,162,47,52
2026-05-11 13:52:18,303,89,162,47,52
2026-05-11 13:52:18,303,89,162,47,52
2026-05-11 13:52:19,303,89,162,47,52
2026-05-11 13:52:19,303,89,162,47,52
2026-05-11 13:52:19,303,89,162,47,52
2026-05-11 13:52:19,303,89,162,47,52
2026-05-11 13:52:20,303,89,162,47,52
2026-05-11 13:52:20,303,89,162,47,52
2026-05-11 13:52:20,304,89,162,47,53
2026-05-11 13:52:21,318,86,162,43,70
2026-05-11 13:52:21,311,86,162,44,63
2026-05-11 13:52:21,311,86,162,44,63
2026-05-11 13:52:21,311,86,162,44,63
2026-05-11 13:52:22,311,86,162,44,63
2026-05-11 13:52:22,311,86,162,44,63
2026-05-11 13:52:22,309,86,162,44,61
2026-05-11 13:52:23,311,86,162,44,63
2026-05-11 13:52:23,325,91,167,47,67
2026-05-11 13:52:23,347,109,170,64,68
2026-05-11 13:52:23,584,336,180,325,68
2026-05-11 13:52:24,1429,1181,180,1136,68
2026-05-11 13:52:24,4296,1682,180,1136,2434
2026-05-11 13:52:24,4567,1561,573,1135,2433
2026-05-11 13:52:25,4562,1550,579,1135,2433
2026-05-11 13:52:25,4574,1550,591,1135,2433
2026-05-11 13:52:25,4811,1550,636,1134,2625
2026-05-11 13:52:26,4745,1550,572,1135,2623
2026-05-11 13:52:26,4745,1550,572,1135,2623
2026-05-11 13:52:26,4745,1550,572,1135,2623
2026-05-11 13:52:27,4756,1550,572,1134,2634
2026-05-11 13:52:27,4756,1550,572,1134,2634
2026-05-11 13:52:27,4756,1550,572,1134,2634
2026-05-11 13:52:28,4756,1550,572,1134,2634
2026-05-11 13:52:28,4756,1550,572,1134,2634
2026-05-11 13:52:28,4756,1550,572,1134,2634
2026-05-11 13:52:28,4752,1548,572,1133,2632
2026-05-11 13:52:29,4753,1548,572,1133,2633
2026-05-11 13:52:29,4753,1548,572,1133,2633
2026-05-11 13:52:29,4752,1548,572,1133,2632
2026-05-11 13:52:30,4775,1569,572,1137,2634
2026-05-11 13:52:30,4792,1577,577,1144,2638
2026-05-11 13:52:30,4774,1556,580,1168,2638
