timestamp,combined_mb,renderer_mb,gpu_mb,renderer_anon_mb,vram_mb
2026-05-11 13:10:57,6063,2760,542,2467,2761
2026-05-11 13:10:57,6079,2768,550,2475,2761
2026-05-11 13:10:57,6062,2770,531,2476,2761
2026-05-11 13:10:58,6069,2775,534,2481,2760
2026-05-11 13:10:58,6111,2782,553,2488,2776
2026-05-11 13:10:58,6126,2783,565,2488,2778
2026-05-11 13:10:58,6125,2782,565,2488,2778
2026-05-11 13:10:59,6125,2782,565,2487,2778
2026-05-11 13:10:59,6125,2782,565,2487,2778
2026-05-11 13:10:59,6122,2782,564,2487,2776
2026-05-11 13:11:00,6119,2779,564,2485,2776
2026-05-11 13:11:00,6119,2779,564,2485,2776
2026-05-11 13:11:00,6117,2779,564,2485,2774
2026-05-11 13:11:01,6117,2779,564,2485,2774
2026-05-11 13:11:01,6117,2779,564,2485,2774
2026-05-11 13:11:01,6117,2779,564,2485,2774
2026-05-11 13:11:02,6117,2779,564,2485,2774
2026-05-11 13:11:02,6117,2779,564,2485,2774
2026-05-11 13:11:02,6117,2779,564,2485,2774
2026-05-11 13:11:03,6117,2779,564,2485,2774
2026-05-11 13:11:03,6117,2779,564,2485,2774
2026-05-11 13:11:03,6117,2779,564,2485,2774
2026-05-11 13:11:04,6110,2779,564,2485,2767
2026-05-11 13:11:04,6110,2779,564,2485,2767
2026-05-11 13:11:04,6110,2779,564,2484,2767
2026-05-11 13:11:04,6110,2779,564,2484,2767
2026-05-11 13:11:05,6110,2779,564,2484,2767
2026-05-11 13:11:05,6110,2779,564,2484,2767
2026-05-11 13:11:05,6110,2779,564,2485,2767
2026-05-11 13:11:06,6110,2779,564,2485,2767
2026-05-11 13:11:06,6119,2780,564,2485,2775
2026-05-11 13:11:06,6125,2780,564,2486,2781
2026-05-11 13:11:07,6134,2782,565,2487,2787
2026-05-11 13:11:07,6134,2782,565,2487,2787
2026-05-11 13:11:07,6132,2782,564,2487,2786
2026-05-11 13:11:08,6132,2782,564,2487,2786
2026-05-11 13:11:08,6133,2782,565,2486,2786
2026-05-11 13:11:08,6131,2781,565,2486,2785
2026-05-11 13:11:09,6130,2781,564,2486,2785
2026-05-11 13:11:09,6130,2781,564,2487,2785
2026-05-11 13:11:09,6040,2691,564,2396,2785
2026-05-11 13:11:10,5971,2624,564,2328,2783
2026-05-11 13:11:10,5966,2621,562,2325,2783
2026-05-11 13:11:10,5962,2617,562,2321,2783
2026-05-11 13:11:11,5961,2617,562,2321,2782
2026-05-11 13:11:11,5961,2617,562,2321,2782
2026-05-11 13:11:11,5961,2617,562,2321,2782
2026-05-11 13:11:11,5961,2617,562,2321,2782
2026-05-11 13:11:12,5960,2616,562,2321,2782
2026-05-11 13:11:12,5960,2616,562,2320,2782
2026-05-11 13:11:12,5950,2616,562,2320,2772
2026-05-11 13:11:13,5950,2616,562,2320,2772
2026-05-11 13:11:13,5950,2616,562,2320,2772
2026-05-11 13:11:13,5945,2616,562,2320,2767
2026-05-11 13:11:14,5945,2616,562,2320,2767
2026-05-11 13:11:14,5945,2616,562,2320,2767
2026-05-11 13:11:14,5945,2616,562,2320,2767
2026-05-11 13:11:15,5945,2616,562,2320,2767
2026-05-11 13:11:15,5945,2616,562,2320,2767
2026-05-11 13:11:15,5944,2616,561,2320,2767
2026-05-11 13:11:16,5944,2616,561,2320,2767
2026-05-11 13:11:16,5944,2616,561,2320,2767
2026-05-11 13:11:16,5944,2616,561,2320,2767
2026-05-11 13:11:16,5940,2612,561,2317,2767
2026-05-11 13:11:17,5940,2612,561,2317,2767
2026-05-11 13:11:17,5940,2612,561,2317,2767
2026-05-11 13:11:17,5940,2612,561,2317,2767
2026-05-11 13:11:18,5940,2612,561,2317,2767
2026-05-11 13:11:18,5940,2612,561,2317,2767
2026-05-11 13:11:18,5940,2612,561,2317,2767
2026-05-11 13:11:19,5940,2612,561,2317,2767
2026-05-11 13:11:19,5940,2612,561,2317,2767
2026-05-11 13:11:19,5940,2612,561,2317,2767
2026-05-11 13:11:20,5940,2612,561,2317,2767
2026-05-11 13:11:20,5940,2612,561,2317,2767
2026-05-11 13:11:20,5940,2612,561,2317,2767
2026-05-11 13:11:21,5923,2616,542,2321,2765
2026-05-11 13:11:21,5934,2628,540,2333,2766
2026-05-11 13:11:21,5946,2641,539,2346,2766
2026-05-11 13:11:22,5954,2648,540,2354,2766
2026-05-11 13:11:22,5964,2658,540,2364,2766
2026-05-11 13:11:22,5978,2671,540,2378,2767
2026-05-11 13:11:23,5982,2676,540,2381,2766
2026-05-11 13:11:23,5992,2685,541,2390,2766
2026-05-11 13:11:23,6004,2697,541,2402,2766
2026-05-11 13:11:23,5998,2696,540,2402,2762
2026-05-11 13:11:24,6018,2716,540,2421,2762
2026-05-11 13:11:24,6023,2721,540,2427,2762
2026-05-11 13:11:24,6029,2726,541,2431,2762
2026-05-11 13:11:25,6037,2732,543,2438,2762
2026-05-11 13:11:25,6039,2737,540,2443,2762
2026-05-11 13:11:25,6044,2742,541,2447,2761
2026-05-11 13:11:26,6048,2746,541,2451,2761
2026-05-11 13:11:26,6052,2751,541,2457,2760
2026-05-11 13:11:26,6055,2756,541,2461,2758
2026-05-11 13:11:27,6060,2760,542,2465,2758
2026-05-11 13:11:27,6064,2765,541,2470,2758
2026-05-11 13:11:27,6070,2772,540,2477,2758
2026-05-11 13:11:28,6076,2776,542,2481,2758
2026-05-11 13:11:28,6079,2781,540,2486,2758
2026-05-11 13:11:28,6084,2786,540,2491,2758
2026-05-11 13:11:29,6092,2792,542,2497,2758
2026-05-11 13:11:29,6097,2798,541,2503,2758
2026-05-11 13:11:29,6101,2802,541,2507,2758
2026-05-11 13:11:29,6107,2807,542,2515,2758
2026-05-11 13:11:30,6113,2814,541,2519,2758
2026-05-11 13:11:30,6117,2818,541,2524,2758
2026-05-11 13:11:30,6123,2824,541,2530,2758
2026-05-11 13:11:31,6128,2829,541,2534,2758
2026-05-11 13:11:31,6134,2835,541,2540,2758
2026-05-11 13:11:31,6146,2842,541,2547,2763
2026-05-11 13:11:32,6154,2849,542,2554,2763
2026-05-11 13:11:32,6159,2854,542,2560,2763
2026-05-11 13:11:32,6170,2865,542,2570,2763
2026-05-11 13:11:33,6178,2873,542,2581,2763
2026-05-11 13:11:33,6187,2882,542,2588,2763
2026-05-11 13:11:33,6194,2889,542,2595,2763
2026-05-11 13:11:34,6196,2896,542,2601,2758
2026-05-11 13:11:34,6238,2901,559,2606,2778
2026-05-11 13:11:34,6240,2901,561,2606,2778
2026-05-11 13:11:35,6239,2900,561,2605,2778
2026-05-11 13:11:35,6239,2900,561,2605,2778
2026-05-11 13:11:35,6239,2900,561,2605,2778
2026-05-11 13:11:35,6237,2900,561,2605,2776
2026-05-11 13:11:36,6237,2900,561,2605,2776
2026-05-11 13:11:36,6237,2900,561,2605,2776
2026-05-11 13:11:36,6236,2900,561,2605,2775
2026-05-11 13:11:37,6235,2899,561,2604,2775
2026-05-11 13:11:37,6235,2899,561,2604,2775
2026-05-11 13:11:37,6235,2899,561,2604,2775
2026-05-11 13:11:38,6235,2899,561,2604,2775
2026-05-11 13:11:38,6235,2899,561,2604,2775
2026-05-11 13:11:38,6234,2899,561,2604,2774
2026-05-11 13:11:39,6233,2898,561,2604,2774
2026-05-11 13:11:39,6233,2898,561,2604,2774
2026-05-11 13:11:39,6118,2783,561,2489,2774
2026-05-11 13:11:40,6118,2783,561,2488,2774
2026-05-11 13:11:40,6116,2781,561,2486,2774
2026-05-11 13:11:40,6109,2781,561,2486,2767
2026-05-11 13:11:41,6109,2781,561,2486,2767
