timestamp,combined_mb,renderer_mb,gpu_mb,renderer_anon_mb,vram_mb
2026-05-11 13:48:16,5941,2638,547,2339,2756
2026-05-11 13:48:16,5941,2638,547,2339,2756
2026-05-11 13:48:17,5941,2638,547,2339,2756
2026-05-11 13:48:17,5941,2638,547,2339,2756
2026-05-11 13:48:17,5941,2638,547,2339,2756
2026-05-11 13:48:18,5941,2638,547,2339,2756
2026-05-11 13:48:18,5941,2638,547,2339,2756
2026-05-11 13:48:18,5941,2638,547,2339,2756
2026-05-11 13:48:19,5941,2638,547,2339,2756
2026-05-11 13:48:19,5941,2638,547,2339,2756
2026-05-11 13:48:19,5940,2638,546,2339,2756
2026-05-11 13:48:20,5940,2638,546,2338,2756
2026-05-11 13:48:20,5940,2638,546,2338,2756
2026-05-11 13:48:20,5940,2638,546,2338,2756
2026-05-11 13:48:21,5940,2638,546,2338,2756
2026-05-11 13:48:21,5940,2638,546,2338,2756
2026-05-11 13:48:21,5940,2638,546,2338,2756
2026-05-11 13:48:22,5951,2638,546,2338,2767
2026-05-11 13:48:22,5952,2638,546,2339,2768
2026-05-11 13:48:22,5952,2638,546,2339,2768
2026-05-11 13:48:23,5956,2639,546,2339,2771
2026-05-11 13:48:23,5971,2643,547,2343,2781
2026-05-11 13:48:23,5971,2643,547,2343,2781
2026-05-11 13:48:24,5971,2643,547,2344,2781
2026-05-11 13:48:24,5971,2643,547,2343,2781
2026-05-11 13:48:24,5972,2644,547,2344,2781
2026-05-11 13:48:24,5972,2644,547,2345,2781
2026-05-11 13:48:25,5948,2646,533,2347,2769
2026-05-11 13:48:25,5969,2663,536,2365,2770
2026-05-11 13:48:25,5982,2676,536,2377,2770
2026-05-11 13:48:26,5991,2685,536,2386,2770
2026-05-11 13:48:26,6005,2699,536,2399,2770
2026-05-11 13:48:26,6012,2706,536,2406,2770
2026-05-11 13:48:27,6019,2712,537,2412,2770
2026-05-11 13:48:27,6028,2726,535,2430,2767
2026-05-11 13:48:27,6035,2732,536,2433,2767
2026-05-11 13:48:28,6039,2739,538,2441,2762
2026-05-11 13:48:28,6041,2754,530,2455,2757
2026-05-11 13:48:28,6046,2760,529,2461,2757
2026-05-11 13:48:29,6049,2764,533,2465,2752
2026-05-11 13:48:29,6050,2768,530,2469,2752
2026-05-11 13:48:29,6055,2773,530,2476,2752
2026-05-11 13:48:30,6062,2780,530,2481,2752
2026-05-11 13:48:30,6070,2785,533,2486,2752
2026-05-11 13:48:30,6070,2790,531,2491,2749
2026-05-11 13:48:30,6073,2795,531,2495,2747
2026-05-11 13:48:31,6077,2799,531,2500,2747
2026-05-11 13:48:31,6082,2805,530,2506,2747
2026-05-11 13:48:31,6088,2810,531,2510,2747
2026-05-11 13:48:32,6093,2815,531,2515,2747
2026-05-11 13:48:32,6096,2819,530,2523,2747
2026-05-11 13:48:32,6105,2827,531,2527,2747
2026-05-11 13:48:33,6110,2832,531,2533,2747
2026-05-11 13:48:33,6113,2836,530,2540,2747
2026-05-11 13:48:33,6124,2844,533,2545,2747
2026-05-11 13:48:34,6125,2848,530,2549,2747
2026-05-11 13:48:34,6131,2853,531,2555,2747
2026-05-11 13:48:34,6139,2859,533,2560,2747
2026-05-11 13:48:35,6141,2863,531,2564,2747
2026-05-11 13:48:35,6151,2870,534,2570,2747
2026-05-11 13:48:35,6152,2874,531,2575,2747
2026-05-11 13:48:36,6159,2881,531,2582,2747
2026-05-11 13:48:36,6163,2885,531,2586,2747
2026-05-11 13:48:36,6177,2897,533,2599,2747
2026-05-11 13:48:37,6183,2905,531,2607,2747
2026-05-11 13:48:37,6194,2916,531,2617,2747
2026-05-11 13:48:37,6205,2925,533,2626,2747
2026-05-11 13:48:37,6210,2932,531,2633,2747
2026-05-11 13:48:38,6217,2939,531,2640,2747
2026-05-11 13:48:38,6224,2945,532,2647,2747
2026-05-11 13:48:38,6229,2951,531,2653,2747
2026-05-11 13:48:39,6239,2959,533,2660,2747
